x = 1, S(x) = 0.5000000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 1.1, S(x) = 0.5269000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 1.2, S(x) = 0.5552000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 1.3, S(x) = 0.5863000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 1.4, S(x) = 0.6216000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 1.5, S(x) = 0.6625000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 1.6, S(x) = 0.7104000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 1.7, S(x) = 0.7667000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 1.8, S(x) = 0.8328000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 1.9, S(x) = 0.9101000000, a = 0.5000000000, b = 0.2666666667, c = 0.0000000000, d = 0.2333333333
x = 2, S(x) = 1.0000000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 2.1, S(x) = 1.1030000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 2.2, S(x) = 1.2160000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 2.3, S(x) = 1.3350000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 2.4, S(x) = 1.4560000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 2.5, S(x) = 1.5750000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 2.6, S(x) = 1.6880000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 2.7, S(x) = 1.7910000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 2.8, S(x) = 1.8800000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 2.9, S(x) = 1.9510000000, a = 1.0000000000, b = 0.9666666667, c = 0.7000000000, d = -0.6666666667
x = 3, S(x) = 2.0000000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
x = 3.1, S(x) = 2.0241000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
x = 3.2, S(x) = 2.0248000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
x = 3.3, S(x) = 2.0047000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
x = 3.4, S(x) = 1.9664000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
x = 3.5, S(x) = 1.9125000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
x = 3.6, S(x) = 1.8456000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
x = 3.7, S(x) = 1.7683000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
x = 3.8, S(x) = 1.6832000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
x = 3.9, S(x) = 1.5929000000, a = 2.0000000000, b = 0.3666666667, c = -1.3000000000, d = 0.4333333333
